08/28/2023,ZZHJSJCS,08/17/2023,BLACK,M,28,125000,ILLEGAL MANUFACTUAL OR SALE OF DRUGS,HARTFORD CC,NONE,THOMAS,JORDAN
08/28/2023,ZZSHREBS,06/01/2023,HISPANIC,M,27,75000,"BURGLARY, THIRD DEGREE                DF",BRIDGEPORT CC,NONE,CRAIG,WANG
08/28/2023,ZZSSSCCW,07/20/2023,WHITE,F,35,13000,PROSTITUTION                          AM,YORK CI,NONE,SHANNON,HO
08/28/2023,ZZHZBWHJ,02/02/2019,BLACK,M,37,100000,SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F,MACDOUGALL,SPECIAL PAROLE,JOSE,BAKER
08/28/2023,ZZHHWZWH,05/22/2023,BLACK,M,34,40050,"FAILURE TO APPEAR, SECOND DEGREE      AM",HARTFORD CC,NONE,DARRELL,HORTON
08/28/2023,ZZSSHHHB,03/15/2023,WHITE,M,38,500000,"ASSAULT 2ND, VICTIM 60 OR OVER        DF",CHESHIRE CI,NONE,JUAN,REYNOLDS
08/28/2023,ZZHZWREH,03/21/2011,WHITE,M,41,100,OPERATING UNDER SUSPENDED LIC OR REG.  M,NEW HAVEN CC,SPECIAL PAROLE,MICHAEL,HOLMES
08/28/2023,ZZHJCWEZ,03/20/2023,BLACK,M,38,21000,"ASSAULT, SECOND DEGREE                 F",NEW HAVEN CC,NONE,BOBBY,JOHNSON
08/28/2023,ZZRJWBWH,07/28/2023,BLACK,M,43,80100,"BURGLARY, FIRST DEGREE                BF",NEW HAVEN CC,NONE,BENJAMIN,HUDSON
08/28/2023,ZZSSZHJS,06/01/2022,WHITE,F,52,300000,"SEXUAL ASSAULT, FIRST DEGREE           F",YORK CI,NONE,AUTUMN,BROWN
08/28/2023,ZZZWZSHB,07/26/2017,BLACK,M,68,400000,"ARSON, SECOND DEGREE                  BF",BRIDGEPORT CC,NONE,CHRISTOPHER,HILL
08/28/2023,ZZHJEWHS,04/25/2023,BLACK,M,28,75000,ASSAULT ON POLICE OR FIRE OFFICER     CF,GARNER,NONE,FRANCISCO,LAWSON
08/28/2023,ZZSSZWCJ,06/20/2022,HISPANIC,M,34,500000,"SEXUAL ASSAULT, FIRST DEGREE           F",CHESHIRE CI,NONE,JONATHAN,BROWN
08/28/2023,ZZRELZWL,12/03/2021,BLACK,M,48,7500000,"FAILURE TO APPEAR, FIRST DEGREE       DF",MACDOUGALL,NONE,CALVIN,MILLER
08/28/2023,ZZSSRHWC,12/12/2022,WHITE,M,45,600000,IDENTITY THEFT 1ST DEGREE             BF,MACDOUGALL,NONE,TIMOTHY,RICHARDSON
08/28/2023,ZZHBHZWC,07/17/2023,BLACK,M,46,170000,"ASSAULT, THIRD DEGREE                 AM",CORRIGAN CI,NONE,BENJAMIN,BROWN
08/28/2023,ZZSHHBJZ,05/24/2022,BLACK,M,21,1750500,HOME INVASION                         AF,WALKER RC,NONE,MICHAEL,FERRELL
08/28/2023,ZZHRRJJL,02/08/2022,HISPANIC,M,38,350100,HOME INVASION                         AF,CHESHIRE CI,NONE,LEE,BALL
08/28/2023,ZZHHBBEE,06/21/2023,BLACK,F,35,47000,VIOLATION OF PROBATION OR COND DISCHG,YORK CI,NONE,KATHY,HAWKINS
08/28/2023,ZZSSEBLC,07/27/2023,WHITE,M,25,100150,STRANGULATION 3RD DEGREE,HARTFORD CC,NONE,LARRY,PATEL
08/28/2023,ZZSZSRZC,06/30/2023,BLACK,F,29,15000,LARCENY OF MV,YORK CI,NONE,KIMBERLY,LYONS
08/28/2023,ZZSECWJB,08/08/2023,HISPANIC,M,27,200000,VIOLATION OF PROBATION OR COND DISCHG,CORRIGAN CI,NONE,DONALD,PAGE
08/28/2023,ZZHZWBZR,12/10/2021,BLACK,M,37,900300,MURDER                                AF,WALKER RC,NONE,HAROLD,SALAZAR
08/28/2023,ZZHRERCW,08/25/2023,WHITE,M,48,50100,VIOLATION OF PROBATION OR COND DISCHG,NEW HAVEN CC,NONE,KYLE,VILLARREAL
08/28/2023,ZZSRHCLS,05/18/2023,WHITE,M,26,250150,"BURGLARY, THIRD DEGREE                DF",HARTFORD CC,NONE,MATTHEW,COOK
08/28/2023,ZZSSEHSZ,08/30/2022,HISPANIC,M,27,2500,INTERFERING WITH AN OFFICER           AM,GARNER,NONE,JASON,YOUNG
08/28/2023,ZZSHSSLW,05/09/2023,WHITE,M,22,295000,CRIMINAL POSSESSION OF A PISTOL       DF,HARTFORD CC,NONE,ANTHONY,BURKE
08/28/2023,ZZSEZWJZ,09/12/2022,BLACK,M,25,400000,CONSPIRACY,CHESHIRE CI,NONE,PETER,EDWARDS
08/28/2023,ZZSHJWCJ,04/01/2022,BLACK,M,20,470250,"LARCENY, FIRST DEGREE                 BF",CHESHIRE CI,NONE,JAMES,SCHNEIDER
08/28/2023,ZZSSWRHW,08/27/2023,BLACK,M,46,1000,DISORDERLY CONDUCT                    CM,HARTFORD CC,NONE,TIMOTHY,RAMIREZ
08/28/2023,ZZSHLZEJ,12/29/2022,BLACK,M,23,125000,"SEXUAL ASSAULT, FIRST DEGREE           F",BRIDGEPORT CC,NONE,AARON,GARCIA
08/28/2023,ZZHECCHB,03/13/2023,HISPANIC,M,43,205000,THREATENING 1ST DEGREE                DF,NEW HAVEN CC,NONE,SCOTT,JACKSON
08/28/2023,ZZSRHLSE,05/17/2022,BLACK,M,37,250000,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,CHESHIRE CI,NONE,KEVIN,BISHOP
08/28/2023,ZZHCBWWZ,08/19/2021,BLACK,M,33,3000000,MURDER                                AF,NEW HAVEN CC,NONE,SEAN,NORRIS
08/28/2023,ZZHJWJBE,05/08/2023,WHITE,M,32,75000,"FAILURE TO APPEAR, FIRST DEGREE       DF",GARNER,NONE,ZACHARY,FIGUEROA
08/28/2023,ZZSSWZEL,08/09/2023,BLACK,F,27,250000,INJURY OR RISK OF INJURY TO MINOR      F,YORK CI,NONE,KIM,SAUNDERS
08/28/2023,ZZSHWSHE,03/27/2023,HISPANIC,M,20,1050000,"LARCENY, FIRST DEGREE                 BF",MANSON YI,STATE OF CT,GLEN,WHITE
08/28/2023,ZZHLECSJ,07/10/2023,BLACK,M,31,151000,CRIMINAL POSSESSION OF A PISTOL       DF,HARTFORD CC,NONE,MATTHEW,ORTIZ
08/28/2023,ZZSSWELE,08/21/2023,BLACK,M,18,40000,"LARCENY, THIRD DEGREE                 DF",MANSON YI,NONE,CHRIS,BOYD
08/28/2023,ZZHJCRJL,08/25/2023,WHITE,M,35,50000,VIOLATION OF PROBATION OR COND DISCHG,CORRIGAN CI,NONE,MICHAEL,DUKE
08/28/2023,ZZSZJBWE,01/30/2023,HISPANIC,M,31,100000,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,BRIDGEPORT CC,T,DAVID,SHERMAN
08/28/2023,ZZHWJHSH,08/25/2023,BLACK,M,34,140000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,TOM,TAYLOR
08/28/2023,ZZSSECSH,10/13/2022,HISPANIC,M,24,250000,"BURGLARY, FIRST DEGREE                BF",BRIDGEPORT CC,OTHER STATE,DAVID,WADE
08/28/2023,ZZSHLLRJ,05/08/2023,HISPANIC,M,36,12500,"BURGLARY, THIRD DEGREE                DF",HARTFORD CC,NONE,ERIC,JORDAN
08/28/2023,ZZSHBLRR,12/03/2021,WHITE,M,57,100000,"UNLAWFUL RESTRAINT, FIRST DEGREE      DF",NEW HAVEN CC,NONE,DOMINIC,SIMS
08/28/2023,ZZSZJJHW,01/06/2021,WHITE,M,42,338000,VIOLATION OF PROBATION OR COND DISCHG,NEW HAVEN CC,NONE,STEVEN,ANDERSON
08/28/2023,ZZELBWBH,07/19/2023,BLACK,M,53,60000,VIOLATION OF PROBATION OR COND DISCHG,CORRIGAN CI,NONE,GERALD,MARTINEZ
08/28/2023,ZZHWRBRB,01/25/2023,WHITE,F,55,1000000,"ASSAULT, 1ST VICTIM 60 OR OVER        BF",YORK CI,NONE,TRACY,HUYNH
08/28/2023,ZZSHLZBW,01/28/2021,BLACK,M,28,1780000,"SEXUAL ASSAULT, FIRST DEGREE           F",CHESHIRE CI,NONE,JASON,MILLER
08/28/2023,ZZHBEBRS,07/11/2023,WHITE,M,30,160000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,DAVID,SNYDER
08/28/2023,ZZSHRRLC,01/30/2023,BLACK,M,19,575000,"ROBBERY, FIRST DEGREE                 BF",MANSON YI,NONE,MIKE,WHEELER
08/28/2023,ZZRCRBEJ,07/19/2023,HISPANIC,M,46,2000000,MURDER                                AF,MACDOUGALL,NONE,ANTHONY,MCCONNELL
08/28/2023,ZZHECLZJ,03/27/2023,BLACK,M,37,270000,"ASSAULT, 1ST VICTIM 60 OR OVER        BF",HARTFORD CC,NONE,KEITH,MORRIS
08/28/2023,ZZSSSJCH,08/21/2023,ASIAN,M,56,10000,"SEXUAL ASSAULT, FOURTH DEGREE         AM",BRIDGEPORT CC,NONE,JOHN,WILLIAMS
08/28/2023,ZZHWJHZZ,08/25/2023,BLACK,M,64,5500,"LARCENY, THIRD DEGREE                 DF",HARTFORD CC,NONE,DANIEL,LOZANO
08/28/2023,ZZHLLHRZ,11/21/2022,BLACK,M,34,1000200,"ASSAULT, FIRST DEGREE                 BF",MACDOUGALL,NONE,TYLER,MURPHY
